MatchID,InningsNo,DeliveryID,bowler,striker,non_striker,ExtraNB,Overstep,Beamer,Fielder,Bouncer,MultiBounce,KnockStumps,OutsidePitch,WrongCall
2020-10-11-sunrisers-hyderabad-rajasthan-royals,1st innings,18.2,JC Archer,KS Williamson,PK Garg,1,0,1,,,,,,
2020-10-12-royal-challengers-bangalore-kolkata-knight-riders,1st innings,19.3,AD Russell,AB de Villiers,V Kohli,1,1,,,,,,,
2020-10-14-delhi-capitals-rajasthan-royals,1st innings,4.4,BA Stokes,SS Iyer,S Dhawan,1,1,,,,,,,
2020-10-14-delhi-capitals-rajasthan-royals,1st innings,9.2,BA Stokes,S Dhawan,SS Iyer,1,0,1,,,,,,
2020-10-14-delhi-capitals-rajasthan-royals,2nd innings,10.7,TU Deshpande,SV Samson,RV Uthappa,1,1,,,,,,,
2020-10-17-chennai-super-kings-delhi-capitals,1st innings,14.5,K Rabada,AT Rayudu,MS Dhoni,1,0,0,0,1,,,,
2020-10-17-rajasthan-royals-royal-challengers-bangalore,1st innings,17.4,YS Chahal,SPD Smith,R Tewatia,1,1,,,,,,,
2020-10-17-rajasthan-royals-royal-challengers-bangalore,1st innings,17.7,YS Chahal,SPD Smith,R Tewatia,1,1,,,,,,,
2020-10-17-rajasthan-royals-royal-challengers-bangalore,2nd innings,8.3,R Tewatia,D Padikkal,V Kohli,1,1,,,,,,,
2020-10-18-kolkata-knight-riders-sunrisers-hyderabad,1st innings,14.1,T Natarajan,AD Russell,EJG Morgan,1,1,,,,,,,
2020-10-18-kolkata-knight-riders-sunrisers-hyderabad,2nd innings,19.1,AD Russell,Rashid Khan,DA Warner,1,1,,,,,,,
2020-10-19-chennai-super-kings-rajasthan-royals,1st innings,7.2,R Tewatia,AT Rayudu,SM Curran,1,1,,,,,,,
2020-10-20-delhi-capitals-kings-xi-punjab,2nd innings,0.3,DR Sams,KL Rahul,MA Agarwal,1,0,0,0,0,0,1,,
2020-10-24-kolkata-knight-riders-delhi-capitals,2nd innings,4.5,M Prasidh Krishna,RR Pant,SS Iyer,1,1,,,,,,,
2020-10-24-kolkata-knight-riders-delhi-capitals,2nd innings,4.6,M Prasidh Krishna,RR Pant,SS Iyer,1,1,,,,,,,
2020-10-25-royal-challengers-bangalore-chennai-super-kings,1st innings,15.5,Monu Kumar,AB de Villiers,V Kohli,1,0,1,,,,,,
2020-10-25-royal-challengers-bangalore-chennai-super-kings,1st innings,18.5,SM Curran,V Kohli,CH Morris,1,0,1,,,,,,
2020-10-29-kolkata-knight-riders-chennai-super-kings,2nd innings,18.6,LH Ferguson,RA Jadeja,SM Curran,1,0,1,,,,,,
2020-10-30-kings-xi-punjab-rajasthan-royals,1st innings,15.6,VR Aaron,N Pooran,CH Gayle,1,1,,,,,,,
2020-10-30-kings-xi-punjab-rajasthan-royals,1st innings,18.2,Kartik Tyagi,GJ Maxwell,CH Gayle,1,0,1,,,,,,
2020-11-06-royal-challengers-bangalore-sunrisers-hyderabad,1st innings,10.5,S Nadeem,AB de Villiers,MM Ali,1,1,,,,,,,
2020-11-06-royal-challengers-bangalore-sunrisers-hyderabad,2nd innings,4.2,Washington Sundar,DA Warner,MK Pandey,1,0,0,0,0,0,1,,
2020-11-08-delhi-capitals-sunrisers-hyderabad,1st innings,5.2,S Nadeem,S Dhawan,MP Stoinis,1,0,1,,,,,,
2020-11-08-delhi-capitals-sunrisers-hyderabad,1st innings,14.6,S Nadeem,SO Hetmyer,S Dhawan,1,1,,,,,,,
2021-04-09-mumbai-indians-royal-challengers-bangalore,1st innings,7.1,HV Patel,SA Yadav,CA Lynn,1,1,,,,,,,
2021-04-09-mumbai-indians-royal-challengers-bangalore,1st innings,18.3,KA Jamieson,KH Pandya,KA Pollard,1,0,0,1,,,,,
2021-04-09-mumbai-indians-royal-challengers-bangalore,2nd innings,3.4,M Jansen,Washington Sundar,V Kohli,1,1,,,,,,,
2021-04-10-chennai-super-kings-delhi-capitals,1st innings,12.2,MP Stoinis,AT Rayudu,SK Raina,1,0,1,,,,,,
